pl_name,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,st_rad,st_raderr1,st_raderr2,st_radlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,type,Teq
WASP-18 c,0.035,,,0.0,1.23,,,0.0,6400.0,,,0.0,hotter,1673.4252410175018
Kepler-1864 b,0.0511,,,0.0,1.594,0.807,-0.471,0.0,6130.0,176.0,-229.0,0.0,hotter,1510.0870763970356
Kepler-282 b,0.0852,,,0.0,0.887,0.361,-0.07,0.0,6102.0,163.0,-178.0,0.0,hotter,868.4044168182912
Kepler-431 c,0.0847,,,0.0,1.092,0.191,-0.109,0.0,6004.0,75.0,-75.0,0.0,hotter,950.8633436687286
Kepler-508 b,0.1763,,,0.0,1.292,0.209,-0.209,0.0,5949.0,106.0,-118.0,0.0,hot,710.32463596628
Kepler-1452 b,0.25764,0.00161,-0.00161,0.0,2.066,0.057,-0.055,0.0,6045.0,60.0,-60.0,0.0,hot,755.0272502796071
Kepler-647 b,0.12237,0.00091,-0.00091,0.0,1.45,0.043,-0.042,0.0,5914.0,60.0,-60.0,0.0,hotter,897.9158734213161
TOI-6695 b,0.402,0.002,-0.002,0.0,1.517,0.023,-0.022,0.0,6400.0,100.0,-100.0,0.0,hot,548.3622448691029
Kepler-1736 b,0.225,,,0.0,1.01,0.44,-0.44,0.0,6099.0,101.0,-101.0,0.0,hot,569.9488333494671
Kepler-197 d,0.1185,,,0.0,1.109,0.036,-0.04,0.0,6003.0,96.0,-108.0,0.0,hotter,809.9957666326244
Kepler-1773 b,0.2489,,,0.0,1.3,0.219,-0.128,0.0,6183.0,110.0,-134.0,0.0,hot,623.2557331952095
Kepler-25 b,0.0703,,,0.0,1.309,0.023,-0.023,0.0,6270.0,79.0,-79.0,0.0,hotter,1193.3490986606641
Kepler-1268 b,0.2395,,,0.0,1.147,0.695,-0.135,0.0,6324.0,172.0,-211.0,0.0,hot,610.4198097133569
Kepler-1447 b,0.2919,,,0.0,0.94,0.344,-0.083,0.0,5910.0,176.0,-212.0,0.0,hot,467.78055844232046
Kepler-312 b,0.0305,,,0.0,1.108,0.162,-0.076,0.0,6173.0,72.0,-132.0,0.0,hotter,1641.058433414953
Kepler-758 e,0.0829,0.00104,-0.00104,0.0,1.518,0.058,-0.055,0.0,6360.0,60.0,-60.0,0.0,hotter,1200.3932481399554
Kepler-1435 b,0.057,,,0.0,1.26,0.7,-0.7,0.0,6640.0,91.0,-91.0,0.0,hotter,1376.9676332122033
HAT-P-40 b,0.0608,0.0006,-0.0015,0.0,2.206,0.061,,0.0,6080.0,100.0,,0.0,hotter,1615.3340639591547
HAT-P-24 b,0.04651,0.00055,-0.00056,0.0,1.317,0.068,-0.068,0.0,6373.0,80.0,-80.0,0.0,hotter,1495.7928193459923
Kepler-1104 b,0.0614,,,0.0,1.195,0.93,-0.14,0.0,6452.0,176.0,-213.0,0.0,hotter,1255.4572633663088
Kepler-23 b,0.077,,,0.0,1.87,0.48,-0.48,0.0,6142.0,118.0,-118.0,0.0,hotter,1335.036257487428
Kepler-520 c,0.0613,,,0.0,1.03,0.112,-0.057,0.0,6108.0,83.0,-122.0,0.0,hotter,1104.3206959466143
HR 858 d,0.1027,0.0022,-0.0025,0.0,1.31,0.024,-0.022,0.0,6201.0,50.0,-50.0,0.0,hotter,976.8321956804522
Kepler-1244 b,0.049,,,0.0,1.484,0.714,-0.334,0.0,6728.0,155.0,-210.0,0.0,hotter,1633.0997076953001
NGTS-2 b,0.063,0.0024,-0.003,0.0,1.702,0.047,-0.044,0.0,6478.0,94.0,-89.0,0.0,hotter,1485.1087423626923
WASP-48 b,0.03444,0.00045,-0.00045,0.0,1.75,0.09,,0.0,5920.0,150.0,,0.0,hotter,1861.3025292975258
Kepler-387 b,0.073,,,0.0,1.09,0.43,-0.43,0.0,6314.0,91.0,-91.0,0.0,hotter,1076.1286758460353
TOI-2583 A b,0.0571,0.001,-0.0013,0.0,1.477,0.036,-0.032,0.0,5936.0,65.0,-68.0,0.0,hotter,1331.6003285256966
WASP-99 b,0.0717,0.0016,-0.0016,0.0,1.76,0.11,-0.06,0.0,6180.0,100.0,-100.0,0.0,hotter,1350.4951815141271
Kepler-377 c,0.1723,,,0.0,0.913,0.357,-0.087,0.0,6167.0,162.0,-184.0,0.0,hot,626.1444079706829
CoRoT-13 b,0.05107,0.0003,-0.00031,0.0,1.01,0.03,-0.03,0.0,5945.0,90.0,-90.0,0.0,hotter,1166.1043750059623
HD 25463 c,0.0435,0.0009,-0.0009,0.0,1.41,0.07,-0.07,0.0,6220.0,110.0,-110.0,0.0,hotter,1561.9355885191287
