,pl_name,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,st_rad,st_raderr1,st_raderr2,st_radlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim
137,GJ 1132 c,0.0476,0.0017,-0.0017,0.0,0.2105,0.0102,-0.0085,0.0,3270.0,140.0,-140.0,0.0
138,GJ 1148 b,0.1686,0.0014,-0.0014,0.0,0.36664,0.007724,-0.007724,0.0,3357.57,48.41,-48.41,0.0
139,GJ 1148 c,0.9302,0.009,-0.0088,0.0,0.36664,0.007724,-0.007724,0.0,3357.57,48.41,-48.41,0.0
140,GJ 1151 c,0.5714,0.0053,-0.0064,0.0,0.1781,0.0042,-0.0042,0.0,3280.0,40.0,-40.0,0.0
141,GJ 1214 b,0.0149,0.00026,-0.00026,0.0,0.215,0.008,-0.008,0.0,3250.0,100.0,-100.0,0.0
142,GJ 1252 b,0.00915,0.00015,-0.00015,0.0,0.391,0.02,-0.02,0.0,3458.0,137.0,-137.0,0.0
143,GJ 1265 b,0.026,0.001,-0.001,0.0,0.192,0.007,-0.007,0.0,3236.0,51.0,-51.0,0.0
144,GJ 143 b,0.1915,0.0058,-0.0063,0.0,0.695,0.03,-0.03,0.0,4640.0,100.0,-100.0,0.0
145,GJ 15 A b,0.072,0.003,-0.004,0.0,0.38,0.05,-0.05,0.0,3607.0,68.0,-68.0,0.0
146,GJ 15 A c,5.4,1.0,-0.9,0.0,0.38,0.05,-0.05,0.0,3607.0,68.0,-68.0,0.0
147,GJ 179 b,2.41,0.04,-0.04,0.0,0.38,0.02,-0.02,0.0,3370.0,100.0,-100.0,0.0
148,GJ 2126 b,0.71,0.03,-0.03,0.0,0.728,0.064,-0.078,0.0,4159.0,129.0,-129.0,0.0
149,GJ 238 b,0.02123,0.00016,-0.00017,0.0,0.4314,0.0075,-0.0071,0.0,3485.0,140.0,-140.0,0.0
150,GJ 251 b,0.0818,0.0011,-0.0012,0.0,0.364,0.011,-0.011,0.0,3451.0,51.0,-51.0,0.0
151,GJ 273 b,0.091101,1.9e-05,-1.7e-05,0.0,0.293,0.027,-0.027,0.0,3382.0,49.0,-49.0,0.0
152,GJ 273 c,0.036467,2e-06,-2e-06,0.0,0.293,0.027,-0.027,0.0,3382.0,49.0,-49.0,0.0
153,GJ 3021 b,0.49,,,0.0,0.9,,,0.0,5540.0,75.0,-75.0,0.0
154,GJ 3090 b,0.03165,0.00027,-0.00027,0.0,0.516,0.016,-0.016,0.0,3556.0,70.0,-70.0,0.0
155,GJ 3138 b,0.0197,0.0005,-0.0005,0.0,0.5,0.03,-0.03,0.0,3717.0,49.0,-49.0,0.0
156,GJ 3138 c,0.057,0.001,-0.001,0.0,0.5,0.03,-0.03,0.0,3717.0,49.0,-49.0,0.0
157,GJ 3138 d,0.698,0.018,-0.019,0.0,0.5,0.03,-0.03,0.0,3717.0,49.0,-49.0,0.0
158,GJ 317 b,1.18,0.0075,-0.0076,0.0,0.431834,0.008304,-0.008304,0.0,3492.73,44.6,-44.6,0.0
159,GJ 317 c,5.78,0.75,-0.38,0.0,0.431834,0.008304,-0.008304,0.0,3492.73,44.6,-44.6,0.0
160,GJ 328 b,4.11,0.16,-0.18,0.0,0.63,0.07,-0.07,0.0,3897.0,71.0,-71.0,0.0
161,GJ 328 c,0.657,0.026,-0.028,0.0,0.63,0.07,-0.07,0.0,3897.0,71.0,-71.0,0.0
162,GJ 3293 b,0.1434,,,0.0,0.404,0.027,-0.027,0.0,3466.0,49.0,-49.0,0.0
163,GJ 3293 c,0.364,,,0.0,0.404,0.027,-0.027,0.0,3466.0,49.0,-49.0,0.0
164,GJ 3293 d,0.19394,0.00017,-0.00018,0.0,0.404,0.027,-0.027,0.0,3466.0,49.0,-49.0,0.0
165,GJ 3293 e,0.08208,3e-05,-4e-05,0.0,0.404,0.027,-0.027,0.0,3466.0,49.0,-49.0,0.0
166,GJ 3323 b,0.03282,0.00054,-0.00056,0.0,0.119,0.027,-0.027,0.0,3159.0,49.0,-49.0,0.0
167,GJ 3323 c,0.1264,0.0021,-0.0022,0.0,0.119,0.027,-0.027,0.0,3159.0,49.0,-49.0,0.0
168,GJ 3341 b,0.089,,,0.0,0.439,0.027,-0.027,0.0,3526.0,49.0,-49.0,0.0
169,GJ 338 B b,0.142,0.005,-0.005,0.0,0.58,0.03,-0.03,0.0,4014.0,100.0,-100.0,0.0
170,GJ 3470 b,0.031,0.0028,-0.0028,0.0,0.48,0.04,-0.04,0.0,3652.0,50.0,-50.0,0.0
171,GJ 3473 b,0.01589,0.00062,-0.00062,0.0,0.364,0.012,-0.012,0.0,3347.0,54.0,-54.0,0.0
172,GJ 3473 c,0.0876,0.0035,-0.0034,0.0,0.364,0.012,-0.012,0.0,3347.0,54.0,-54.0,0.0
173,GJ 3512 b,0.338,0.008,-0.0084,0.0,0.139,0.005,-0.005,0.0,3081.0,51.0,-51.0,0.0
174,GJ 3512 c,1.292,0.003,-0.003,0.0,0.139,0.005,-0.005,0.0,3081.0,51.0,-51.0,0.0
175,GJ 357 b,0.036,0.0004,-0.0004,0.0,0.337,0.015,-0.015,0.0,3505.0,51.0,-51.0,0.0
176,GJ 357 c,0.061,0.004,-0.004,0.0,0.337,0.015,-0.015,0.0,3505.0,51.0,-51.0,0.0
177,GJ 357 d,0.204,0.015,-0.015,0.0,0.337,0.015,-0.015,0.0,3505.0,51.0,-51.0,0.0
178,GJ 367 b,0.0071,0.0002,-0.0002,0.0,0.457,0.013,-0.013,0.0,3522.0,70.0,-70.0,0.0
179,GJ 3779 b,0.026,0.001,-0.001,0.0,0.281,0.01,-0.01,0.0,3324.0,51.0,-51.0,0.0
180,GJ 3929 b,0.0252,0.0005,-0.0005,0.0,0.32,0.01,-0.01,0.0,3384.0,88.0,-88.0,0.0
181,GJ 3929 c,0.081,0.002,-0.002,0.0,0.32,0.01,-0.01,0.0,3384.0,88.0,-88.0,0.0
182,GJ 393 b,0.05402,0.00072,-0.00072,0.0,0.426,0.013,-0.013,0.0,3579.0,51.0,-51.0,0.0
183,GJ 3942 b,0.0608,0.0068,-0.0068,0.0,0.61,0.06,-0.06,0.0,3867.0,69.0,-69.0,0.0
184,GJ 3988 b,0.0405,0.0011,-0.0012,0.0,0.19734,0.01219,-0.01219,0.0,3273.0,101.0,-101.0,0.0
185,GJ 3998 b,0.029,0.001,-0.001,0.0,0.49,0.05,-0.05,0.0,3722.0,68.0,-68.0,0.0
186,GJ 3998 c,0.09,0.003,-0.003,0.0,0.5,0.05,-0.05,0.0,3726.0,68.0,-68.0,0.0
187,GJ 3998 d,0.189,0.006,-0.006,0.0,0.5,0.05,-0.05,0.0,3726.0,68.0,-68.0,0.0
188,GJ 411 b,0.07879,0.00056,-0.00055,0.0,0.3685,0.0081,-0.0054,0.0,3719.0,21.0,-31.0,0.0
189,GJ 414 A b,0.2403,0.0017,-0.0017,0.0,0.669922,0.008087,-0.008087,0.0,4205.93,39.6,-39.6,0.0
190,GJ 414 A c,1.424,0.011,-0.011,0.0,0.669922,0.008087,-0.008087,0.0,4205.93,39.6,-39.6,0.0
191,GJ 4276 b,0.082,0.002,-0.002,0.0,0.407,0.015,-0.015,0.0,3387.0,51.0,-51.0,0.0
192,GJ 433 b,0.06,0.0,0.0,0.0,0.5,0.04,-0.04,0.0,3461.0,150.0,-150.0,0.0
193,GJ 436 b,0.02849,0.0002,-0.0002,0.0,0.416843,0.007563,-0.007563,0.0,3586.11,36.37,-36.37,0.0
194,GJ 463 b,3.53,0.07,-0.07,0.0,0.49,0.015,-0.015,0.0,3540.0,41.0,-41.0,0.0
195,GJ 486 b,0.01713,0.00091,-0.00098,0.0,0.339,0.015,-0.015,0.0,3291.0,75.0,-75.0,0.0
196,GJ 514 b,0.422,0.014,-0.015,0.0,0.5,0.047,-0.047,0.0,3728.0,68.0,-68.0,0.0
197,GJ 536 b,0.06661,1.1e-05,-1.3e-05,0.0,0.5,0.05,-0.05,0.0,3685.0,68.0,-68.0,0.0
198,GJ 581 b,0.041,0.001,-0.001,0.0,0.329702,0.009934,-0.009934,0.0,3396.0,157.0,-157.0,0.0
199,GJ 581 c,0.074,0.001,-0.001,0.0,0.329702,0.009934,-0.009934,0.0,3396.0,157.0,-157.0,0.0
200,GJ 581 e,0.02799,0.0003,-0.0003,0.0,0.302,0.005,-0.005,0.0,3500.0,26.0,-26.0,0.0
201,GJ 625 b,0.078361,4.4e-05,-4.6e-05,0.0,0.31,0.06,-0.06,0.0,3499.0,68.0,-68.0,0.0
202,GJ 649 b,1.112,0.035,-0.037,0.0,0.5,0.05,-0.05,0.0,3734.0,68.0,-68.0,0.0
203,GJ 676 A b,1.82,0.06,-0.06,0.0,0.69,0.07,-0.07,0.0,3734.0,181.0,-181.0,0.0
204,GJ 685 b,0.1344,0.0052,-0.0051,0.0,0.54,0.05,-0.05,0.0,3816.0,69.0,-69.0,0.0
205,GJ 687 b,0.16353,4.3e-05,-4.3e-05,0.0,0.4183,0.007,-0.007,0.0,3413.0,28.0,-28.0,0.0
206,GJ 720 A b,0.119,0.002,-0.001,0.0,0.56,0.06,-0.06,0.0,3837.0,69.0,-69.0,0.0
207,GJ 724 b,0.04685,0.00077,-0.00079,0.0,0.52226,0.02234,-0.02234,0.0,3799.0,81.0,-81.0,0.0
208,GJ 740 b,0.029,0.001,-0.001,0.0,0.56,0.06,-0.06,0.0,3913.0,51.0,-51.0,0.0
209,GJ 806 b,0.01406,0.0003,-0.0003,0.0,0.4144,0.0038,-0.0038,0.0,3600.0,16.0,-16.0,0.0
210,GJ 806 c,0.0523,0.0011,-0.0011,0.0,0.4144,0.0038,-0.0038,0.0,3600.0,16.0,-16.0,0.0
211,GJ 832 b,3.4,0.4,-0.4,0.0,0.48,,,0.0,3657.0,,,0.0
212,GJ 849 b,2.32,0.11,-0.13,0.0,0.45,0.07,-0.07,0.0,3467.0,68.0,-68.0,0.0
