pl_name,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,st_rad,st_raderr1,st_raderr2,st_radlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,type
Kepler-146 b,0.1931,,,0.0,1.06,0.426,-0.131,0.0,6197.0,161.0,-195.0,0.0,hot
Kepler-1857 b,0.0807,,,0.0,1.005,0.347,-0.155,0.0,6074.0,171.0,-173.0,0.0,hot
Kepler-175 c,0.209,,,0.0,0.95,0.38,-0.38,0.0,6029.0,109.0,-109.0,0.0,hot
Kepler-1875 b,0.2039,,,0.0,0.851,0.344,-0.06,0.0,6150.0,166.0,-181.0,0.0,hot
Kepler-1472 b,0.2335,,,0.0,1.164,0.558,-0.15,0.0,6425.0,137.0,-258.0,0.0,hot
Kepler-187 c,0.095,,,0.0,1.15,0.44,-0.44,0.0,5973.0,105.0,-105.0,0.0,hot
TOI-628 b,0.0486,0.0008,-0.00094,0.0,1.345,0.046,-0.04,0.0,6250.0,220.0,-190.0,0.0,hot
Kepler-625 b,0.0807,,,0.0,1.072,0.25,-0.051,0.0,6077.0,98.0,-135.0,0.0,hot
Kepler-24 e,0.1378,,,0.0,1.088,0.401,-0.16,0.0,6038.0,164.0,-191.0,0.0,hot
Kepler-1226 b,0.135,,,0.0,1.01,0.44,-0.44,0.0,6197.0,88.0,-88.0,0.0,hot
Kepler-135 c,0.1054,,,0.0,1.209,0.891,-0.159,0.0,6388.0,141.0,-225.0,0.0,hot
Kepler-402 c,0.0684,,,0.0,1.215,0.684,-0.17,0.0,6522.0,158.0,-206.0,0.0,hot
Kepler-990 b,0.089,,,0.0,0.926,0.372,-0.091,0.0,5953.0,158.0,-175.0,0.0,hot
WASP-31 b,0.04663,0.00034,-0.00034,0.0,1.252,0.033,-0.033,0.0,6300.0,100.0,-100.0,0.0,hot
Kepler-603 b,0.15,,,0.0,0.92,0.42,-0.42,0.0,5956.0,106.0,-106.0,0.0,hot
WASP-102 b,0.041,0.001,-0.001,0.0,1.375,0.048,-0.048,0.0,5990.0,100.0,-100.0,0.0,hot
Kepler-686 b,0.027,,,0.0,0.96,0.46,-0.46,0.0,5973.0,107.0,-107.0,0.0,hot
KELT-17 b,0.04881,0.00065,-0.00061,0.0,1.645,0.06,-0.055,0.0,7454.0,49.0,-49.0,0.0,hot
Kepler-826 b,0.0528,,,0.0,1.257,0.197,-0.241,0.0,6060.0,120.0,-132.0,0.0,hot
